Title, Summary, Tags, Date, URL
"animations-in-design-have-quickly-gone-from-flashy","Animations in design have quickly gone from flashy might-haves to guiding must-haves. Especially within mobile design, without...","['animation', 'web animation', 'web design', 'UX Design', 'ux', 'Interaction Design']","2016-04-13 13:46:39 GMT","https://tmblr.co/ZIduYk24xtSpe"
"have-you-been-reluctant-to-use-ab-testing-as-a","Have you been reluctant to use A/B Testing as a part of your design strategy because you don’t know how to get started? --...","['A/B testing', 'user experience', 'user research', 'ux', 'web design']","2016-02-02 16:11:24 GMT","https://tmblr.co/ZIduYk2126haU"
"in-the-need-of-a-prototyping-tool-or-wondering","In the need of a prototyping tool, or wondering what making the switch to a new tool would entail? -- Cooper not only offers an...","['prototype', 'Mobile Design', 'web design', 'UX Design', 'ux', 'Interaction Design']","2016-01-29 16:47:36 GMT","https://tmblr.co/ZIduYk20oT_Zs"
"have-you-ever-considered-becoming-a-ux-designer","Have you ever considered becoming a UX Designer, or do you want to be sure you are proficient with your skills? -- Well, there...","['UX Design', 'ux', 'web design', 'information architecture']","2016-01-25 16:40:50 GMT","https://tmblr.co/ZIduYk20Z1etS"
"interaction-design-or-ixd-in-technical-terms","Interaction Design, or IxD (in technical terms), has escalated to become the focus of designers everywhere. Whether they are...","['Interaction Design', 'ixd', 'user experience', 'ux', 'user interface', 'web design']","2015-10-27 16:01:20 GMT","https://tmblr.co/ZIduYk1wzAEB_"
"have-you-ever-wondered-what-the-most-used-design","Have you ever wondered what the most used design tools are? Subtraction.com surveyed over 4000 designers from 200+ countries to...","['UX Design', 'web design', 'design tools', 'ux']","2015-09-12 21:26:02 GMT","https://tmblr.co/ZIduYk1u5g22p"
"anybody-whos-spent-time-on-a-design-team-has","“Anybody who’s spent time on a design team has almost certainly encountered the persona.” Designing with the persona in mind is...","['UX Design', 'ux research', 'persona', 'web design']","2015-09-09 15:35:31 GMT","https://tmblr.co/ZIduYk1ttqG2a"
"design-is-conceiving-and-giving-form-to-artifacts","“Design is conceiving and giving form to artifacts that solve problems.” How do you begin and work through the design process...","['ux', 'ux design', 'web design']","2015-09-01 02:57:33 GMT","https://tmblr.co/ZIduYk1tI6C8R"
"in-keeping-with-the-the-current-trends-in-mobile","In keeping with the the current trends in mobile design you always have to be one step ahead. Meng To has you covered with...","['ui kit', 'user interface', 'gui', 'sketch']","2015-09-01 02:47:28 GMT","https://tmblr.co/ZIduYk1tI3MgI"
"user-experience-is-the-same-as-customer-experience","User Experience is the same as Customer Experience right? -- Wrong, or at least according to Interaction-Design.Org’s Nick...","['user experience', 'customer experience', 'ux design', 'ux']","2015-08-25 15:25:09 GMT","https://tmblr.co/ZIduYk1spHq-O"
"while-sometimes-it-can-be-easy-to-identify-a-bad","While sometimes it can be easy to identify a bad User Interface, other times certain negative aspects go unnoticed because maybe...","['user interface', 'ui design', 'user experience', 'ux design', 'ux', 'web design']","2015-08-21 05:36:54 GMT","https://tmblr.co/ZIduYk1sUiwfi"
"the-funny-thing-about-micro-interactions-is-that","The funny thing about micro-interactions is that if they are created/working correctly most people probably do not even notice...","['microinteractions', 'ux design', 'ui design', 'user experience']","2015-08-18 22:24:06 GMT","https://tmblr.co/ZIduYk1sJOePg"
"while-page-based-prototyping-may-be-great-for-some","While page-based prototyping may be great for some web applications by rapidly creating an initial flow, layer-based prototyping...","['prototype', 'mobile ux', 'mobile design', 'user experience']","2015-08-14 06:52:59 GMT","https://tmblr.co/ZIduYk1rz4r5B"
"who-knew-how-many-ux-design-lessons-can-be-easily","Who knew how many UX design lessons can be easily demonstrated through travel websites. With points like ‘Use Action Verbs’...","['ux design', 'web design', 'user experience']","2015-08-11 18:36:19 GMT","https://tmblr.co/ZIduYk1rmV5aK"
"it-is-no-easy-task-standing-up-to-and-even-above","It is no easy task standing up to and even above the long-running design platform Photoshop, however Sketch does so many things...","['tutorial', 'sketch', 'web design', 'ux design', 'ui design', 'user experience']","2015-08-08 01:27:40 GMT","https://tmblr.co/ZIduYk1rUPZbX"
"the-job-of-an-icon-is-to-guide-your-users-keep","“The job of an icon is to guide your users. Keep it simple.” Icons are as essential as any other element when designing...","['icons', 'user interface', 'ui design', 'ux design', 'user experience', 'web design']","2015-08-06 23:32:51 GMT","https://tmblr.co/ZIduYk1rP6qOx"
"ui-kits-can-make-webmobile-design-creation-a","UI Kits can make web/mobile design creation a breeze. They can also spark new ideas to your current platform’s web design....","['ui kit', 'ui design', 'user interface', 'web design', 'user experience', 'ux design']","2015-08-04 22:52:58 GMT","https://tmblr.co/ZIduYk1rE_RJz"
"googles-material-design-has-proved-to-be-a-hot","Google’s Material Design has proved to be a hot button topic for designers since it was announced, however is it really better...","['material design', 'web design', 'ux design', 'user experience']","2015-07-30 16:49:21 GMT","https://tmblr.co/ZIduYk1qqp9O9"
"does-your-web-design-flow-follow-a-sequential","Does your web design flow follow a sequential phase order? -- If not, Usabilla has you covered with an easy to read list of six...","['web design', 'ux design', 'user experience']","2015-07-30 03:00:23 GMT","https://tmblr.co/ZIduYk1qoE64C"
"it-doesnt-matter-how-good-your-website-is-if","“It doesn’t matter how good your website is if users can’t find their way around it.” Without navigation that is both intuitive...","['navigation', 'ux design', 'ui design', 'user experience', 'web design']","2015-07-24 23:11:23 GMT","https://tmblr.co/ZIduYk1qNw7sW"
"have-you-been-reluctant-to-use-ab-testing-as-a","Have you been reluctant to use A/B Testing as a part of your design strategy because you don’t know how to get started? --...","['A/B testing', 'user experience', 'user research', 'ux', 'web design']","2016-02-02 16:11:24 GMT","https://tmblr.co/ZIduYk2126haU"
"in-the-need-of-a-prototyping-tool-or-wondering","In the need of a prototyping tool, or wondering what making the switch to a new tool would entail? -- Cooper not only offers an...","['prototype', 'Mobile Design', 'web design', 'UX Design', 'ux', 'Interaction Design']","2016-01-29 16:47:36 GMT","https://tmblr.co/ZIduYk20oT_Zs"
"have-you-ever-considered-becoming-a-ux-designer","Have you ever considered becoming a UX Designer, or do you want to be sure you are proficient with your skills? -- Well, there...","['UX Design', 'ux', 'web design', 'information architecture']","2016-01-25 16:40:50 GMT","https://tmblr.co/ZIduYk20Z1etS"
"interaction-design-or-ixd-in-technical-terms","Interaction Design, or IxD (in technical terms), has escalated to become the focus of designers everywhere. Whether they are...","['Interaction Design', 'ixd', 'user experience', 'ux', 'user interface', 'web design']","2015-10-27 16:01:20 GMT","https://tmblr.co/ZIduYk1wzAEB_"
"have-you-ever-wondered-what-the-most-used-design","Have you ever wondered what the most used design tools are? Subtraction.com surveyed over 4000 designers from 200+ countries to...","['UX Design', 'web design', 'design tools', 'ux']","2015-09-12 21:26:02 GMT","https://tmblr.co/ZIduYk1u5g22p"
"anybody-whos-spent-time-on-a-design-team-has","“Anybody who’s spent time on a design team has almost certainly encountered the persona.” Designing with the persona in mind is...","['UX Design', 'ux research', 'persona', 'web design']","2015-09-09 15:35:31 GMT","https://tmblr.co/ZIduYk1ttqG2a"
"design-is-conceiving-and-giving-form-to-artifacts","“Design is conceiving and giving form to artifacts that solve problems.” How do you begin and work through the design process...","['ux', 'ux design', 'web design']","2015-09-01 02:57:33 GMT","https://tmblr.co/ZIduYk1tI6C8R"
"in-keeping-with-the-the-current-trends-in-mobile","In keeping with the the current trends in mobile design you always have to be one step ahead. Meng To has you covered with...","['ui kit', 'user interface', 'gui', 'sketch']","2015-09-01 02:47:28 GMT","https://tmblr.co/ZIduYk1tI3MgI"
"user-experience-is-the-same-as-customer-experience","User Experience is the same as Customer Experience right? -- Wrong, or at least according to Interaction-Design.Org’s Nick...","['user experience', 'customer experience', 'ux design', 'ux']","2015-08-25 15:25:09 GMT","https://tmblr.co/ZIduYk1spHq-O"
"while-sometimes-it-can-be-easy-to-identify-a-bad","While sometimes it can be easy to identify a bad User Interface, other times certain negative aspects go unnoticed because maybe...","['user interface', 'ui design', 'user experience', 'ux design', 'ux', 'web design']","2015-08-21 05:36:54 GMT","https://tmblr.co/ZIduYk1sUiwfi"
"the-funny-thing-about-micro-interactions-is-that","The funny thing about micro-interactions is that if they are created/working correctly most people probably do not even notice...","['microinteractions', 'ux design', 'ui design', 'user experience']","2015-08-18 22:24:06 GMT","https://tmblr.co/ZIduYk1sJOePg"
"while-page-based-prototyping-may-be-great-for-some","While page-based prototyping may be great for some web applications by rapidly creating an initial flow, layer-based prototyping...","['prototype', 'mobile ux', 'mobile design', 'user experience']","2015-08-14 06:52:59 GMT","https://tmblr.co/ZIduYk1rz4r5B"
"who-knew-how-many-ux-design-lessons-can-be-easily","Who knew how many UX design lessons can be easily demonstrated through travel websites. With points like ‘Use Action Verbs’...","['ux design', 'web design', 'user experience']","2015-08-11 18:36:19 GMT","https://tmblr.co/ZIduYk1rmV5aK"
"it-is-no-easy-task-standing-up-to-and-even-above","It is no easy task standing up to and even above the long-running design platform Photoshop, however Sketch does so many things...","['tutorial', 'sketch', 'web design', 'ux design', 'ui design', 'user experience']","2015-08-08 01:27:40 GMT","https://tmblr.co/ZIduYk1rUPZbX"
"the-job-of-an-icon-is-to-guide-your-users-keep","“The job of an icon is to guide your users. Keep it simple.” Icons are as essential as any other element when designing...","['icons', 'user interface', 'ui design', 'ux design', 'user experience', 'web design']","2015-08-06 23:32:51 GMT","https://tmblr.co/ZIduYk1rP6qOx"
"ui-kits-can-make-webmobile-design-creation-a","UI Kits can make web/mobile design creation a breeze. They can also spark new ideas to your current platform’s web design....","['ui kit', 'ui design', 'user interface', 'web design', 'user experience', 'ux design']","2015-08-04 22:52:58 GMT","https://tmblr.co/ZIduYk1rE_RJz"
"googles-material-design-has-proved-to-be-a-hot","Google’s Material Design has proved to be a hot button topic for designers since it was announced, however is it really better...","['material design', 'web design', 'ux design', 'user experience']","2015-07-30 16:49:21 GMT","https://tmblr.co/ZIduYk1qqp9O9"
"does-your-web-design-flow-follow-a-sequential","Does your web design flow follow a sequential phase order? -- If not, Usabilla has you covered with an easy to read list of six...","['web design', 'ux design', 'user experience']","2015-07-30 03:00:23 GMT","https://tmblr.co/ZIduYk1qoE64C"
"it-doesnt-matter-how-good-your-website-is-if","“It doesn’t matter how good your website is if users can’t find their way around it.” Without navigation that is both intuitive...","['navigation', 'ux design', 'ui design', 'user experience', 'web design']","2015-07-24 23:11:23 GMT","https://tmblr.co/ZIduYk1qNw7sW"
"choosing-colors-is-an-essential-aspect-of-creating","Choosing colors is an essential aspect of creating new designs that can make or break your product. Get ideas for your own...","['color inspiration', 'web design', 'ux design', 'user experience']","2015-07-22 21:56:04 GMT","https://tmblr.co/ZIduYk1qDVNs9"
"in-the-need-of-a-prototyping-tool-or-wondering","In the need of a prototyping tool, or wondering what making the switch to a new tool would entail? -- Cooper not only offers an...","['prototype', 'Mobile Design', 'web design', 'UX Design', 'ux', 'Interaction Design']","2016-01-29 16:47:36 GMT","https://tmblr.co/ZIduYk20oT_Zs"
"have-you-ever-considered-becoming-a-ux-designer","Have you ever considered becoming a UX Designer, or do you want to be sure you are proficient with your skills? -- Well, there...","['UX Design', 'ux', 'web design', 'information architecture']","2016-01-25 16:40:50 GMT","https://tmblr.co/ZIduYk20Z1etS"
"interaction-design-or-ixd-in-technical-terms","Interaction Design, or IxD (in technical terms), has escalated to become the focus of designers everywhere. Whether they are...","['Interaction Design', 'ixd', 'user experience', 'ux', 'user interface', 'web design']","2015-10-27 16:01:20 GMT","https://tmblr.co/ZIduYk1wzAEB_"
"have-you-ever-wondered-what-the-most-used-design","Have you ever wondered what the most used design tools are? Subtraction.com surveyed over 4000 designers from 200+ countries to...","['UX Design', 'web design', 'design tools', 'ux']","2015-09-12 21:26:02 GMT","https://tmblr.co/ZIduYk1u5g22p"
"anybody-whos-spent-time-on-a-design-team-has","“Anybody who’s spent time on a design team has almost certainly encountered the persona.” Designing with the persona in mind is...","['UX Design', 'ux research', 'persona', 'web design']","2015-09-09 15:35:31 GMT","https://tmblr.co/ZIduYk1ttqG2a"
"design-is-conceiving-and-giving-form-to-artifacts","“Design is conceiving and giving form to artifacts that solve problems.” How do you begin and work through the design process...","['ux', 'ux design', 'web design']","2015-09-01 02:57:33 GMT","https://tmblr.co/ZIduYk1tI6C8R"
"in-keeping-with-the-the-current-trends-in-mobile","In keeping with the the current trends in mobile design you always have to be one step ahead. Meng To has you covered with...","['ui kit', 'user interface', 'gui', 'sketch']","2015-09-01 02:47:28 GMT","https://tmblr.co/ZIduYk1tI3MgI"
"user-experience-is-the-same-as-customer-experience","User Experience is the same as Customer Experience right? -- Wrong, or at least according to Interaction-Design.Org’s Nick...","['user experience', 'customer experience', 'ux design', 'ux']","2015-08-25 15:25:09 GMT","https://tmblr.co/ZIduYk1spHq-O"
"while-sometimes-it-can-be-easy-to-identify-a-bad","While sometimes it can be easy to identify a bad User Interface, other times certain negative aspects go unnoticed because maybe...","['user interface', 'ui design', 'user experience', 'ux design', 'ux', 'web design']","2015-08-21 05:36:54 GMT","https://tmblr.co/ZIduYk1sUiwfi"
"the-funny-thing-about-micro-interactions-is-that","The funny thing about micro-interactions is that if they are created/working correctly most people probably do not even notice...","['microinteractions', 'ux design', 'ui design', 'user experience']","2015-08-18 22:24:06 GMT","https://tmblr.co/ZIduYk1sJOePg"
"while-page-based-prototyping-may-be-great-for-some","While page-based prototyping may be great for some web applications by rapidly creating an initial flow, layer-based prototyping...","['prototype', 'mobile ux', 'mobile design', 'user experience']","2015-08-14 06:52:59 GMT","https://tmblr.co/ZIduYk1rz4r5B"
"who-knew-how-many-ux-design-lessons-can-be-easily","Who knew how many UX design lessons can be easily demonstrated through travel websites. With points like ‘Use Action Verbs’...","['ux design', 'web design', 'user experience']","2015-08-11 18:36:19 GMT","https://tmblr.co/ZIduYk1rmV5aK"
"it-is-no-easy-task-standing-up-to-and-even-above","It is no easy task standing up to and even above the long-running design platform Photoshop, however Sketch does so many things...","['tutorial', 'sketch', 'web design', 'ux design', 'ui design', 'user experience']","2015-08-08 01:27:40 GMT","https://tmblr.co/ZIduYk1rUPZbX"
"the-job-of-an-icon-is-to-guide-your-users-keep","“The job of an icon is to guide your users. Keep it simple.” Icons are as essential as any other element when designing...","['icons', 'user interface', 'ui design', 'ux design', 'user experience', 'web design']","2015-08-06 23:32:51 GMT","https://tmblr.co/ZIduYk1rP6qOx"
"ui-kits-can-make-webmobile-design-creation-a","UI Kits can make web/mobile design creation a breeze. They can also spark new ideas to your current platform’s web design....","['ui kit', 'ui design', 'user interface', 'web design', 'user experience', 'ux design']","2015-08-04 22:52:58 GMT","https://tmblr.co/ZIduYk1rE_RJz"
"googles-material-design-has-proved-to-be-a-hot","Google’s Material Design has proved to be a hot button topic for designers since it was announced, however is it really better...","['material design', 'web design', 'ux design', 'user experience']","2015-07-30 16:49:21 GMT","https://tmblr.co/ZIduYk1qqp9O9"
"does-your-web-design-flow-follow-a-sequential","Does your web design flow follow a sequential phase order? -- If not, Usabilla has you covered with an easy to read list of six...","['web design', 'ux design', 'user experience']","2015-07-30 03:00:23 GMT","https://tmblr.co/ZIduYk1qoE64C"
"it-doesnt-matter-how-good-your-website-is-if","“It doesn’t matter how good your website is if users can’t find their way around it.” Without navigation that is both intuitive...","['navigation', 'ux design', 'ui design', 'user experience', 'web design']","2015-07-24 23:11:23 GMT","https://tmblr.co/ZIduYk1qNw7sW"
"choosing-colors-is-an-essential-aspect-of-creating","Choosing colors is an essential aspect of creating new designs that can make or break your product. Get ideas for your own...","['color inspiration', 'web design', 'ux design', 'user experience']","2015-07-22 21:56:04 GMT","https://tmblr.co/ZIduYk1qDVNs9"
"cta-or-call-to-action-buttons-are-an-essential","CTA or Call To Action Buttons are an essential component to conversation rates for any website. Do my buttons carry the right...","['button design', 'ux design', 'user experience', 'web design', 'ui design']","2015-07-22 14:38:54 GMT","https://tmblr.co/ZIduYk1qBmN4I"
"have-you-ever-considered-becoming-a-ux-designer","Have you ever considered becoming a UX Designer, or do you want to be sure you are proficient with your skills? -- Well, there...","['UX Design', 'ux', 'web design', 'information architecture']","2016-01-25 16:40:50 GMT","https://tmblr.co/ZIduYk20Z1etS"
"interaction-design-or-ixd-in-technical-terms","Interaction Design, or IxD (in technical terms), has escalated to become the focus of designers everywhere. Whether they are...","['Interaction Design', 'ixd', 'user experience', 'ux', 'user interface', 'web design']","2015-10-27 16:01:20 GMT","https://tmblr.co/ZIduYk1wzAEB_"
"have-you-ever-wondered-what-the-most-used-design","Have you ever wondered what the most used design tools are? Subtraction.com surveyed over 4000 designers from 200+ countries to...","['UX Design', 'web design', 'design tools', 'ux']","2015-09-12 21:26:02 GMT","https://tmblr.co/ZIduYk1u5g22p"
"anybody-whos-spent-time-on-a-design-team-has","“Anybody who’s spent time on a design team has almost certainly encountered the persona.” Designing with the persona in mind is...","['UX Design', 'ux research', 'persona', 'web design']","2015-09-09 15:35:31 GMT","https://tmblr.co/ZIduYk1ttqG2a"
"design-is-conceiving-and-giving-form-to-artifacts","“Design is conceiving and giving form to artifacts that solve problems.” How do you begin and work through the design process...","['ux', 'ux design', 'web design']","2015-09-01 02:57:33 GMT","https://tmblr.co/ZIduYk1tI6C8R"
"in-keeping-with-the-the-current-trends-in-mobile","In keeping with the the current trends in mobile design you always have to be one step ahead. Meng To has you covered with...","['ui kit', 'user interface', 'gui', 'sketch']","2015-09-01 02:47:28 GMT","https://tmblr.co/ZIduYk1tI3MgI"
"user-experience-is-the-same-as-customer-experience","User Experience is the same as Customer Experience right? -- Wrong, or at least according to Interaction-Design.Org’s Nick...","['user experience', 'customer experience', 'ux design', 'ux']","2015-08-25 15:25:09 GMT","https://tmblr.co/ZIduYk1spHq-O"
"while-sometimes-it-can-be-easy-to-identify-a-bad","While sometimes it can be easy to identify a bad User Interface, other times certain negative aspects go unnoticed because maybe...","['user interface', 'ui design', 'user experience', 'ux design', 'ux', 'web design']","2015-08-21 05:36:54 GMT","https://tmblr.co/ZIduYk1sUiwfi"
"the-funny-thing-about-micro-interactions-is-that","The funny thing about micro-interactions is that if they are created/working correctly most people probably do not even notice...","['microinteractions', 'ux design', 'ui design', 'user experience']","2015-08-18 22:24:06 GMT","https://tmblr.co/ZIduYk1sJOePg"
"while-page-based-prototyping-may-be-great-for-some","While page-based prototyping may be great for some web applications by rapidly creating an initial flow, layer-based prototyping...","['prototype', 'mobile ux', 'mobile design', 'user experience']","2015-08-14 06:52:59 GMT","https://tmblr.co/ZIduYk1rz4r5B"
"who-knew-how-many-ux-design-lessons-can-be-easily","Who knew how many UX design lessons can be easily demonstrated through travel websites. With points like ‘Use Action Verbs’...","['ux design', 'web design', 'user experience']","2015-08-11 18:36:19 GMT","https://tmblr.co/ZIduYk1rmV5aK"
"it-is-no-easy-task-standing-up-to-and-even-above","It is no easy task standing up to and even above the long-running design platform Photoshop, however Sketch does so many things...","['tutorial', 'sketch', 'web design', 'ux design', 'ui design', 'user experience']","2015-08-08 01:27:40 GMT","https://tmblr.co/ZIduYk1rUPZbX"
"the-job-of-an-icon-is-to-guide-your-users-keep","“The job of an icon is to guide your users. Keep it simple.” Icons are as essential as any other element when designing...","['icons', 'user interface', 'ui design', 'ux design', 'user experience', 'web design']","2015-08-06 23:32:51 GMT","https://tmblr.co/ZIduYk1rP6qOx"
"ui-kits-can-make-webmobile-design-creation-a","UI Kits can make web/mobile design creation a breeze. They can also spark new ideas to your current platform’s web design....","['ui kit', 'ui design', 'user interface', 'web design', 'user experience', 'ux design']","2015-08-04 22:52:58 GMT","https://tmblr.co/ZIduYk1rE_RJz"
"googles-material-design-has-proved-to-be-a-hot","Google’s Material Design has proved to be a hot button topic for designers since it was announced, however is it really better...","['material design', 'web design', 'ux design', 'user experience']","2015-07-30 16:49:21 GMT","https://tmblr.co/ZIduYk1qqp9O9"
"does-your-web-design-flow-follow-a-sequential","Does your web design flow follow a sequential phase order? -- If not, Usabilla has you covered with an easy to read list of six...","['web design', 'ux design', 'user experience']","2015-07-30 03:00:23 GMT","https://tmblr.co/ZIduYk1qoE64C"
"it-doesnt-matter-how-good-your-website-is-if","“It doesn’t matter how good your website is if users can’t find their way around it.” Without navigation that is both intuitive...","['navigation', 'ux design', 'ui design', 'user experience', 'web design']","2015-07-24 23:11:23 GMT","https://tmblr.co/ZIduYk1qNw7sW"
"choosing-colors-is-an-essential-aspect-of-creating","Choosing colors is an essential aspect of creating new designs that can make or break your product. Get ideas for your own...","['color inspiration', 'web design', 'ux design', 'user experience']","2015-07-22 21:56:04 GMT","https://tmblr.co/ZIduYk1qDVNs9"
"cta-or-call-to-action-buttons-are-an-essential","CTA or Call To Action Buttons are an essential component to conversation rates for any website. Do my buttons carry the right...","['button design', 'ux design', 'user experience', 'web design', 'ui design']","2015-07-22 14:38:54 GMT","https://tmblr.co/ZIduYk1qBmN4I"
"some-people-think-design-means-how-it-looks-but","“Some people think design means how it looks but of course, if you dig deeper, it’s really how it works” -- Steve Jobs. Ecem...","['ux design', 'user experience', 'ui design', 'web design']","2015-07-16 23:27:10 GMT","https://tmblr.co/ZIduYk1plbtm7"
"interaction-design-or-ixd-in-technical-terms","Interaction Design, or IxD (in technical terms), has escalated to become the focus of designers everywhere. Whether they are...","['Interaction Design', 'ixd', 'user experience', 'ux', 'user interface', 'web design']","2015-10-27 16:01:20 GMT","https://tmblr.co/ZIduYk1wzAEB_"
"have-you-ever-wondered-what-the-most-used-design","Have you ever wondered what the most used design tools are? Subtraction.com surveyed over 4000 designers from 200+ countries to...","['UX Design', 'web design', 'design tools', 'ux']","2015-09-12 21:26:02 GMT","https://tmblr.co/ZIduYk1u5g22p"
"anybody-whos-spent-time-on-a-design-team-has","“Anybody who’s spent time on a design team has almost certainly encountered the persona.” Designing with the persona in mind is...","['UX Design', 'ux research', 'persona', 'web design']","2015-09-09 15:35:31 GMT","https://tmblr.co/ZIduYk1ttqG2a"
"design-is-conceiving-and-giving-form-to-artifacts","“Design is conceiving and giving form to artifacts that solve problems.” How do you begin and work through the design process...","['ux', 'ux design', 'web design']","2015-09-01 02:57:33 GMT","https://tmblr.co/ZIduYk1tI6C8R"
"in-keeping-with-the-the-current-trends-in-mobile","In keeping with the the current trends in mobile design you always have to be one step ahead. Meng To has you covered with...","['ui kit', 'user interface', 'gui', 'sketch']","2015-09-01 02:47:28 GMT","https://tmblr.co/ZIduYk1tI3MgI"
"user-experience-is-the-same-as-customer-experience","User Experience is the same as Customer Experience right? -- Wrong, or at least according to Interaction-Design.Org’s Nick...","['user experience', 'customer experience', 'ux design', 'ux']","2015-08-25 15:25:09 GMT","https://tmblr.co/ZIduYk1spHq-O"
"while-sometimes-it-can-be-easy-to-identify-a-bad","While sometimes it can be easy to identify a bad User Interface, other times certain negative aspects go unnoticed because maybe...","['user interface', 'ui design', 'user experience', 'ux design', 'ux', 'web design']","2015-08-21 05:36:54 GMT","https://tmblr.co/ZIduYk1sUiwfi"
"the-funny-thing-about-micro-interactions-is-that","The funny thing about micro-interactions is that if they are created/working correctly most people probably do not even notice...","['microinteractions', 'ux design', 'ui design', 'user experience']","2015-08-18 22:24:06 GMT","https://tmblr.co/ZIduYk1sJOePg"
"while-page-based-prototyping-may-be-great-for-some","While page-based prototyping may be great for some web applications by rapidly creating an initial flow, layer-based prototyping...","['prototype', 'mobile ux', 'mobile design', 'user experience']","2015-08-14 06:52:59 GMT","https://tmblr.co/ZIduYk1rz4r5B"
"who-knew-how-many-ux-design-lessons-can-be-easily","Who knew how many UX design lessons can be easily demonstrated through travel websites. With points like ‘Use Action Verbs’...","['ux design', 'web design', 'user experience']","2015-08-11 18:36:19 GMT","https://tmblr.co/ZIduYk1rmV5aK"
"it-is-no-easy-task-standing-up-to-and-even-above","It is no easy task standing up to and even above the long-running design platform Photoshop, however Sketch does so many things...","['tutorial', 'sketch', 'web design', 'ux design', 'ui design', 'user experience']","2015-08-08 01:27:40 GMT","https://tmblr.co/ZIduYk1rUPZbX"
"the-job-of-an-icon-is-to-guide-your-users-keep","“The job of an icon is to guide your users. Keep it simple.” Icons are as essential as any other element when designing...","['icons', 'user interface', 'ui design', 'ux design', 'user experience', 'web design']","2015-08-06 23:32:51 GMT","https://tmblr.co/ZIduYk1rP6qOx"
"ui-kits-can-make-webmobile-design-creation-a","UI Kits can make web/mobile design creation a breeze. They can also spark new ideas to your current platform’s web design....","['ui kit', 'ui design', 'user interface', 'web design', 'user experience', 'ux design']","2015-08-04 22:52:58 GMT","https://tmblr.co/ZIduYk1rE_RJz"
"googles-material-design-has-proved-to-be-a-hot","Google’s Material Design has proved to be a hot button topic for designers since it was announced, however is it really better...","['material design', 'web design', 'ux design', 'user experience']","2015-07-30 16:49:21 GMT","https://tmblr.co/ZIduYk1qqp9O9"
"does-your-web-design-flow-follow-a-sequential","Does your web design flow follow a sequential phase order? -- If not, Usabilla has you covered with an easy to read list of six...","['web design', 'ux design', 'user experience']","2015-07-30 03:00:23 GMT","https://tmblr.co/ZIduYk1qoE64C"
"it-doesnt-matter-how-good-your-website-is-if","“It doesn’t matter how good your website is if users can’t find their way around it.” Without navigation that is both intuitive...","['navigation', 'ux design', 'ui design', 'user experience', 'web design']","2015-07-24 23:11:23 GMT","https://tmblr.co/ZIduYk1qNw7sW"
"choosing-colors-is-an-essential-aspect-of-creating","Choosing colors is an essential aspect of creating new designs that can make or break your product. Get ideas for your own...","['color inspiration', 'web design', 'ux design', 'user experience']","2015-07-22 21:56:04 GMT","https://tmblr.co/ZIduYk1qDVNs9"
"cta-or-call-to-action-buttons-are-an-essential","CTA or Call To Action Buttons are an essential component to conversation rates for any website. Do my buttons carry the right...","['button design', 'ux design', 'user experience', 'web design', 'ui design']","2015-07-22 14:38:54 GMT","https://tmblr.co/ZIduYk1qBmN4I"
"some-people-think-design-means-how-it-looks-but","“Some people think design means how it looks but of course, if you dig deeper, it’s really how it works” -- Steve Jobs. Ecem...","['ux design', 'user experience', 'ui design', 'web design']","2015-07-16 23:27:10 GMT","https://tmblr.co/ZIduYk1plbtm7"
"email-newsletter-design-can-be-difficult-to-pull","Email newsletter design can be difficult to pull off correctly with the changing design landscape. However, Envato Market has...","['email template', 'email marketing', 'web design', 'ux design', 'user experience']","2015-07-16 23:23:09 GMT","https://tmblr.co/ZIduYk1plari4"
